[2021/8/7 - 9:46:52] Tai Cute da thu thap: +Sat: 32, +Ruby: 14, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 7:47:24] Tai Cute da thu thap: +Sat: 80, +Ruby: 33, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 7:51:05] Vu Hieu da thu thap: +Sat: 49, +Ruby: 15, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 7:54:33] Tai Cute da thu thap: +Sat: 44, +Ruby: 12, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 8:01:12] Vu Hieu da thu thap: +Sat: 61, +Ruby: 22, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 8:01:20] Vu Hieu da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 8:03:37] Vu Hieu da thu thap: +Sat: 11, +Ruby: 7, +Vang: 2, +Kim Cuong: 0
[2021/8/10 - 8:05:01] Tai Cute da thu thap: +Sat: 37, +Ruby: 14, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 8:06:31] Vu Hieu da thu thap: +Sat: 21, +Ruby: 4, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 8:09:30] Vu Hieu da thu thap: +Sat: 15, +Ruby: 8, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 8:13:16] Vu Hieu da thu thap: +Sat: 18, +Ruby: 8, +Vang: 2, +Kim Cuong: 0
[2021/8/10 - 8:14:42] Vu Hieu da thu thap: +Sat: 7, +Ruby: 3, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 8:14:58] Tai Cute da thu thap: +Sat: 55, +Ruby: 19, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 8:18:51] Vu Hieu da thu thap: +Sat: 19, +Ruby: 13, +Vang: 2, +Kim Cuong: 0
[2021/8/10 - 8:21:58] Vu Hieu da thu thap: +Sat: 17, +Ruby: 6, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 8:23:43] Vu Hieu da thu thap: +Sat: 10, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 8:28:16] Vu Hieu da thu thap: +Sat: 22, +Ruby: 12, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 8:31:54] Vu Hieu da thu thap: +Sat: 20, +Ruby: 6, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 8:33:15] Vu Hieu da thu thap: +Sat: 9, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 8:33:21] Vu Hieu da thu thap: +Sat: 0, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 8:53:27] David Bull da thu thap: +Sat: 0, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 8:53:59] David Bull da thu thap: +Sat: 2, +Ruby: 2, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 8:54:43] David Bull da thu thap: +Sat: 4, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 8:55:09] David Bull da thu thap: +Sat: 2, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 8:55:33] David Bull da thu thap: +Sat: 1, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 9:41:09] Vu Hieu da thu thap: +Sat: 46, +Ruby: 16, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 9:42:00] Vu Hieu da thu thap: +Sat: 3, +Ruby: 3, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 9:42:07] Vu Hieu da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 9:47:46] Vu Hieu da thu thap: +Sat: 19, +Ruby: 5, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 9:52:20] Tai Cute da thu thap: +Sat: 130, +Ruby: 66, +Vang: 5, +Kim Cuong: 0
[2021/8/10 - 11:37:17] Vu Hieu da thu thap: +Sat: 33, +Ruby: 13, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 11:44:28] Vu Hieu da thu thap: +Sat: 41, +Ruby: 15, +Vang: 2, +Kim Cuong: 0
[2021/8/10 - 11:44:45] Vu Hieu da thu thap: +Sat: 2, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 11:45:15] Vu Hieu da thu thap: +Sat: 2, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 11:45:19] Vu Hieu da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 11:46:42] Vu Hieu da thu thap: +Sat: 4, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 11:46:44] Vu Hieu da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 11:47:46] Vu Hieu da thu thap: +Sat: 1, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 11:48:31] Vu Hieu da thu thap: +Sat: 6, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 11:49:41] Vu Hieu da thu thap: +Sat: 1, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 11:49:57] Vu Hieu da thu thap: +Sat: 3, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 11:50:32] Vu Hieu da thu thap: +Sat: 3, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 12:00:18] Vu Hieu da thu thap: +Sat: 6, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 12:00:35] Vu Hieu da thu thap: +Sat: 0, +Ruby: 3, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 12:00:58] Vu Hieu da thu thap: +Sat: 1, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 12:01:19] Vu Hieu da thu thap: +Sat: 0, +Ruby: 2, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 12:01:41] Vu Hieu da thu thap: +Sat: 2, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 12:01:49] Vu Hieu da thu thap: +Sat: 0, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 12:01:55] Vu Hieu da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 12:01:59] Vu Hieu da thu thap: +Sat: 0, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 12:02:13] Vu Hieu da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 12:02:21] Vu Hieu da thu thap: +Sat: 0, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 12:19:11] Vu Hieu da thu thap: +Sat: 16, +Ruby: 5, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 12:52:24] Vu Hieu da thu thap: +Sat: 27, +Ruby: 13, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 12:56:28] Vu Hieu da thu thap: +Sat: 25, +Ruby: 8, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 12:57:51] Vu Hieu da thu thap: +Sat: 0, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 13:06:51] Vu Hieu da thu thap: +Sat: 51, +Ruby: 18, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 13:15:41] Vu Hieu da thu thap: +Sat: 49, +Ruby: 21, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 13:24:21] Tommy Smith da thu thap: +Sat: 4, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 13:26:55] Vu Hieu da thu thap: +Sat: 60, +Ruby: 23, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 13:35:49] Vu Hieu da thu thap: +Sat: 49, +Ruby: 25, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 13:36:11] Vu Hieu da thu thap: +Sat: 2, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 13:49:17] Vu Hieu da thu thap: +Sat: 16, +Ruby: 6, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 13:53:38] Tommy Smith da thu thap: +Sat: 3, +Ruby: 3, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 13:53:43] Tommy Smith da thu thap: +Sat: 0, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 13:59:13] Tai Cute da thu thap: +Sat: 54, +Ruby: 25, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 14:39:19] Tai Cute da thu thap: +Sat: 45, +Ruby: 11, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 14:42:47] Tai Cute da thu thap: +Sat: 22, +Ruby: 6, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 14:46:03] Tai Cute da thu thap: +Sat: 19, +Ruby: 8, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 15:42:23] Vu Hieu da thu thap: +Sat: 2, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 15:52:09] Vu Hieu da thu thap: +Sat: 25, +Ruby: 5, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 16:01:17] Vu Hieu da thu thap: +Sat: 48, +Ruby: 20, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 16:01:39] Vu Hieu da thu thap: +Sat: 2, +Ruby: 0, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 16:30:19] Vu Hieu da thu thap: +Sat: 76, +Ruby: 33, +Vang: 2, +Kim Cuong: 0
[2021/8/10 - 19:09:46] Tai Cute da thu thap: +Sat: 74, +Ruby: 38, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 19:14:37] Tai Cute da thu thap: +Sat: 24, +Ruby: 12, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 19:25:49] Tai Cute da thu thap: +Sat: 64, +Ruby: 22, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 19:30:38] Tai Cute da thu thap: +Sat: 23, +Ruby: 8, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 20:20:00] Vu Hieu da thu thap: +Sat: 30, +Ruby: 14, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 20:31:36] Vu Hieu da thu thap: +Sat: 62, +Ruby: 27, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 20:36:56] Vu Hieu da thu thap: +Sat: 33, +Ruby: 10, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 20:44:01] Vu Hieu da thu thap: +Sat: 46, +Ruby: 11, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 20:45:05] Vu Hieu da thu thap: +Sat: 3, +Ruby: 5, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 20:50:21] Vu Hieu da thu thap: +Sat: 29, +Ruby: 10, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 21:00:47] Vu Hieu da thu thap: +Sat: 61, +Ruby: 22, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 21:06:22] Vu Hieu da thu thap: +Sat: 37, +Ruby: 8, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 21:07:36] Vu Hieu da thu thap: +Sat: 5, +Ruby: 4, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 21:14:28] Vu Hieu da thu thap: +Sat: 36, +Ruby: 18, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 21:44:31] Vu Hieu da thu thap: +Sat: 184, +Ruby: 64, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 21:46:59] Vu Hieu da thu thap: +Sat: 16, +Ruby: 4, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 21:48:06] Vu Hieu da thu thap: +Sat: 9, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
